permutation_index,evidence_application_order,canonical_active_factor_signature,final_possible_joint_world_count,order_independent
67,lifecycle>corridor>p0_upper_temporal_structure>cross_modal_definite_order_intersection>timing_relation_set>optical_raw_definite_order_alone>sar_family_pair_geometry_alone>shared_and_topology,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
68,lifecycle>corridor>p0_upper_temporal_structure>cross_modal_definite_order_intersection>timing_relation_set>optical_raw_definite_order_alone>shared_and_topology>sar_family_pair_geometry_alone,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
69,lifecycle>corridor>p0_upper_temporal_structure>cross_modal_definite_order_intersection>timing_relation_set>sar_family_pair_geometry_alone>optical_raw_definite_order_alone>shared_and_topology,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
70,lifecycle>corridor>p0_upper_temporal_structure>cross_modal_definite_order_intersection>timing_relation_set>sar_family_pair_geometry_alone>shared_and_topology>optical_raw_definite_order_alone,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
71,lifecycle>corridor>p0_upper_temporal_structure>cross_modal_definite_order_intersection>timing_relation_set>shared_and_topology>optical_raw_definite_order_alone>sar_family_pair_geometry_alone,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
72,lifecycle>corridor>p0_upper_temporal_structure>cross_modal_definite_order_intersection>timing_relation_set>shared_and_topology>sar_family_pair_geometry_alone>optical_raw_definite_order_alone,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
73,lifecycle>corridor>p0_upper_temporal_structure>shared_and_topology>optical_raw_definite_order_alone>sar_family_pair_geometry_alone>cross_modal_definite_order_intersection>timing_relation_set,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
74,lifecycle>corridor>p0_upper_temporal_structure>shared_and_topology>optical_raw_definite_order_alone>sar_family_pair_geometry_alone>timing_relation_set>cross_modal_definite_order_intersection,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
75,lifecycle>corridor>p0_upper_temporal_structure>shared_and_topology>optical_raw_definite_order_alone>cross_modal_definite_order_intersection>sar_family_pair_geometry_alone>timing_relation_set,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
76,lifecycle>corridor>p0_upper_temporal_structure>shared_and_topology>optical_raw_definite_order_alone>cross_modal_definite_order_intersection>timing_relation_set>sar_family_pair_geometry_alone,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
77,lifecycle>corridor>p0_upper_temporal_structure>shared_and_topology>optical_raw_definite_order_alone>timing_relation_set>sar_family_pair_geometry_alone>cross_modal_definite_order_intersection,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
78,lifecycle>corridor>p0_upper_temporal_structure>shared_and_topology>optical_raw_definite_order_alone>timing_relation_set>cross_modal_definite_order_intersection>sar_family_pair_geometry_alone,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
79,lifecycle>corridor>p0_upper_temporal_structure>shared_and_topology>sar_family_pair_geometry_alone>optical_raw_definite_order_alone>cross_modal_definite_order_intersection>timing_relation_set,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
80,lifecycle>corridor>p0_upper_temporal_structure>shared_and_topology>sar_family_pair_geometry_alone>optical_raw_definite_order_alone>timing_relation_set>cross_modal_definite_order_intersection,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
81,lifecycle>corridor>p0_upper_temporal_structure>shared_and_topology>sar_family_pair_geometry_alone>cross_modal_definite_order_intersection>optical_raw_definite_order_alone>timing_relation_set,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
82,lifecycle>corridor>p0_upper_temporal_structure>shared_and_topology>sar_family_pair_geometry_alone>cross_modal_definite_order_intersection>timing_relation_set>optical_raw_definite_order_alone,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
83,lifecycle>corridor>p0_upper_temporal_structure>shared_and_topology>sar_family_pair_geometry_alone>timing_relation_set>optical_raw_definite_order_alone>cross_modal_definite_order_intersection,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
84,lifecycle>corridor>p0_upper_temporal_structure>shared_and_topology>sar_family_pair_geometry_alone>timing_relation_set>cross_modal_definite_order_intersection>optical_raw_definite_order_alone,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
85,lifecycle>corridor>p0_upper_temporal_structure>shared_and_topology>cross_modal_definite_order_intersection>optical_raw_definite_order_alone>sar_family_pair_geometry_alone>timing_relation_set,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
86,lifecycle>corridor>p0_upper_temporal_structure>shared_and_topology>cross_modal_definite_order_intersection>optical_raw_definite_order_alone>timing_relation_set>sar_family_pair_geometry_alone,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
87,lifecycle>corridor>p0_upper_temporal_structure>shared_and_topology>cross_modal_definite_order_intersection>sar_family_pair_geometry_alone>optical_raw_definite_order_alone>timing_relation_set,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
88,lifecycle>corridor>p0_upper_temporal_structure>shared_and_topology>cross_modal_definite_order_intersection>sar_family_pair_geometry_alone>timing_relation_set>optical_raw_definite_order_alone,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
89,lifecycle>corridor>p0_upper_temporal_structure>shared_and_topology>cross_modal_definite_order_intersection>timing_relation_set>optical_raw_definite_order_alone>sar_family_pair_geometry_alone,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
90,lifecycle>corridor>p0_upper_temporal_structure>shared_and_topology>cross_modal_definite_order_intersection>timing_relation_set>sar_family_pair_geometry_alone>optical_raw_definite_order_alone,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
91,lifecycle>corridor>p0_upper_temporal_structure>shared_and_topology>timing_relation_set>optical_raw_definite_order_alone>sar_family_pair_geometry_alone>cross_modal_definite_order_intersection,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
92,lifecycle>corridor>p0_upper_temporal_structure>shared_and_topology>timing_relation_set>optical_raw_definite_order_alone>cross_modal_definite_order_intersection>sar_family_pair_geometry_alone,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
93,lifecycle>corridor>p0_upper_temporal_structure>shared_and_topology>timing_relation_set>sar_family_pair_geometry_alone>optical_raw_definite_order_alone>cross_modal_definite_order_intersection,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
94,lifecycle>corridor>p0_upper_temporal_structure>shared_and_topology>timing_relation_set>sar_family_pair_geometry_alone>cross_modal_definite_order_intersection>optical_raw_definite_order_alone,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
95,lifecycle>corridor>p0_upper_temporal_structure>shared_and_topology>timing_relation_set>cross_modal_definite_order_intersection>optical_raw_definite_order_alone>sar_family_pair_geometry_alone,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
96,lifecycle>corridor>p0_upper_temporal_structure>shared_and_topology>timing_relation_set>cross_modal_definite_order_intersection>sar_family_pair_geometry_alone>optical_raw_definite_order_alone,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
97,lifecycle>corridor>p0_upper_temporal_structure>timing_relation_set>optical_raw_definite_order_alone>sar_family_pair_geometry_alone>cross_modal_definite_order_intersection>shared_and_topology,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
98,lifecycle>corridor>p0_upper_temporal_structure>timing_relation_set>optical_raw_definite_order_alone>sar_family_pair_geometry_alone>shared_and_topology>cross_modal_definite_order_intersection,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
99,lifecycle>corridor>p0_upper_temporal_structure>timing_relation_set>optical_raw_definite_order_alone>cross_modal_definite_order_intersection>sar_family_pair_geometry_alone>shared_and_topology,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
100,lifecycle>corridor>p0_upper_temporal_structure>timing_relation_set>optical_raw_definite_order_alone>cross_modal_definite_order_intersection>shared_and_topology>sar_family_pair_geometry_alone,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
101,lifecycle>corridor>p0_upper_temporal_structure>timing_relation_set>optical_raw_definite_order_alone>shared_and_topology>sar_family_pair_geometry_alone>cross_modal_definite_order_intersection,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
102,lifecycle>corridor>p0_upper_temporal_structure>timing_relation_set>optical_raw_definite_order_alone>shared_and_topology>cross_modal_definite_order_intersection>sar_family_pair_geometry_alone,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
