order_profile_id,segment_id,run_id,track_a,track_b,segment_frame_count,paired_raw_interval_frame_count,raw_relation_set,whole_segment_optical_order,whole_segment_definite_order,overlap_or_uncertain_frame_set,unavailable_frame_set,nominal_frame_equality_used_as_hard_timing_authority,manual_reference_used
TERGOP_018995BF601CC68894DE,TERGS_406E06BEE8B19831E091,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,R02ZF_REUSED_R02ZF_PERSON021,8,8,{A_RIGHT_OF_B},A_RIGHT_OF_B,True,,,False,False
TERGOP_C549A406C8B9946C62B4,TERGS_406E06BEE8B19831E091,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,R02ZF_REUSED_R02ZF_PERSON023,8,3,{A_RIGHT_OF_B},A_RIGHT_OF_B,True,,490;491;492;493;494,False,False
TERGOP_73119F1CF4B51EB04FAE,TERGS_406E06BEE8B19831E091,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,R02ZF_REUSED_R02ZF_PERSON024,8,7,{A_RIGHT_OF_B},A_RIGHT_OF_B,True,,487,False,False
TERGOP_A612C9611A000EDCA2ED,TERGS_406E06BEE8B19831E091,R02ZF,R02ZF_REUSED_R02ZF_PERSON021,R02ZF_REUSED_R02ZF_PERSON023,8,3,{OPTICAL_OVERLAP_OR_UNCERTAIN},NO_WHOLE_SEGMENT_DEFINITE_ORDER,False,487;488;489,490;491;492;493;494,False,False
TERGOP_C9529519C165E3405BB1,TERGS_406E06BEE8B19831E091,R02ZF,R02ZF_REUSED_R02ZF_PERSON021,R02ZF_REUSED_R02ZF_PERSON024,8,7,{A_RIGHT_OF_B},A_RIGHT_OF_B,True,,487,False,False
TERGOP_86A78B8C42A5420EC70A,TERGS_406E06BEE8B19831E091,R02ZF,R02ZF_REUSED_R02ZF_PERSON023,R02ZF_REUSED_R02ZF_PERSON024,8,2,{OPTICAL_OVERLAP_OR_UNCERTAIN},NO_WHOLE_SEGMENT_DEFINITE_ORDER,False,488;489,487;490;491;492;493;494,False,False
TERGOP_0F69511D1B61ED85AE0F,TERGS_8D6DB9A2F108568B32AA,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON024,7,7,{A_RIGHT_OF_B},A_RIGHT_OF_B,True,,,False,False
TERGOP_FE8CC8A3F3D1AAD9751D,TERGS_A923293CFBC550AE18D7,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,R02ZF_REUSED_R02ZF_PERSON024,7,7,{A_RIGHT_OF_B},A_RIGHT_OF_B,True,,,False,False
TERGOP_D6C249BC998FC4E6C175,TERGS_F66D1A1E88076E254C22,R02ZF,R02ZF_REUSED_R02ZF_PERSON021,R02ZF_REUSED_R02ZF_PERSON024,7,7,{A_RIGHT_OF_B},A_RIGHT_OF_B,True,,,False,False
TERGOP_C454632AA0854F5C8344,TERGS_48FABD798C7CE3742190,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON018,8,7,{A_LEFT_OF_B},A_LEFT_OF_B,True,,495,False,False
