timing_condition,pair_index,source_track_id,source_optical_frame_index,destination_optical_frame_index,d_left_o_deg_v2,d_right_o_deg_v2,d_mid_o_deg_v2,d_width_o_deg_v2,optical_dynamic_state_v2,bank_row_multiplicity
NOMINAL,5,R02ZF_REUSED_R02ZF_PERSON018,286.0,287.0,0.9222694131755027,0.8502872514137501,0.8862783322946264,-0.07198216176175265,OPTICAL_COHERENT_POSITIVE_SHIFT,36
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,8,R02ZF_REUSED_R02ZF_PERSON018,289.0,290.0,1.1449766360027205,1.0700665573327193,1.1075215966677199,-0.07491007867000121,OPTICAL_COHERENT_POSITIVE_SHIFT,42
NOMINAL,15,R02ZF_REUSED_R02ZF_PERSON018,292.0,293.0,0.8124212620959028,0.8551356474508118,0.8337784547733573,0.04271438535490901,OPTICAL_COHERENT_POSITIVE_SHIFT,110
SAR_SHIFT_PLUS_1,19,R02ZF_REUSED_R02ZF_PERSON018,295.0,296.0,0.8247578992052169,0.9029848731846535,0.863871386194937,0.07822697397943656,OPTICAL_COHERENT_POSITIVE_SHIFT,120
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,12,R02ZF_REUSED_R02ZF_PERSON018,291.0,292.0,0.8959734968402273,0.902581247061466,0.8992773719508484,0.006607750221238717,OPTICAL_COHERENT_POSITIVE_SHIFT,99
OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,0,R02ZF_REUSED_R02ZF_PERSON017,282.0,283.0,0.8924995454007885,0.9203001083058098,0.9063998268533027,0.02780056290502131,OPTICAL_COHERENT_POSITIVE_SHIFT,63
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,10,R02ZF_REUSED_R02ZF_PERSON018,290.0,291.0,0.9363475017006273,0.955124253988469,0.9457358778445482,0.018776752287841703,OPTICAL_COHERENT_POSITIVE_SHIFT,81
NOMINAL,18,R02ZF_REUSED_R02ZF_PERSON018,294.0,295.0,0.912883478317692,0.8354556189580222,0.8741695486378571,-0.07742785935966978,OPTICAL_COHERENT_POSITIVE_SHIFT,110
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,20,R02ZF_REUSED_R02ZF_PERSON018,296.0,297.0,0.8238350927087232,0.8521491396519068,0.837992116180315,0.028314046943183513,OPTICAL_COHERENT_POSITIVE_SHIFT,132
SAR_SHIFT_MINUS_1,1,R02ZF_REUSED_R02ZF_PERSON018,283.0,284.0,0.8355809383606001,0.9561935377075983,0.8958872380340974,0.1206125993469982,OPTICAL_COHERENT_POSITIVE_SHIFT,35
SAR_SHIFT_PLUS_1,14,R02ZF_REUSED_R02ZF_PERSON018,292.0,293.0,0.8124212620959028,0.8551356474508118,0.8337784547733573,0.04271438535490901,OPTICAL_COHERENT_POSITIVE_SHIFT,100
OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,2,R02ZF_REUSED_R02ZF_PERSON018,283.0,284.0,0.8355809383606001,0.9561935377075983,0.8958872380340974,0.1206125993469982,OPTICAL_COHERENT_POSITIVE_SHIFT,25
SAR_SHIFT_PLUS_1,19,R02ZF_REUSED_R02ZF_PERSON017,295.0,296.0,0.9029311648688854,0.866526692720381,0.8847289287946349,-0.036404472148504397,OPTICAL_COHERENT_POSITIVE_SHIFT,195
NOMINAL,13,R02ZF_REUSED_R02ZF_PERSON018,291.0,292.0,0.8959734968402273,0.902581247061466,0.8992773719508484,0.006607750221238717,OPTICAL_COHERENT_POSITIVE_SHIFT,100
NOMINAL,17,R02ZF_REUSED_R02ZF_PERSON021,293.0,294.0,1.9765249750753355,1.9295167727199534,1.9530208738976462,-0.04700820235538217,OPTICAL_COHERENT_POSITIVE_SHIFT,48
SAR_SHIFT_PLUS_1,6,R02ZF_REUSED_R02ZF_PERSON017,287.0,288.0,0.7128639495969011,0.7007144778218475,0.7067892137093743,-0.012149471775053655,OPTICAL_COHERENT_POSITIVE_SHIFT,42
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,17,R02ZF_REUSED_R02ZF_PERSON018,294.0,295.0,0.912883478317692,0.8354556189580222,0.8741695486378571,-0.07742785935966978,OPTICAL_COHERENT_POSITIVE_SHIFT,77
SAR_SHIFT_MINUS_1,16,R02ZF_REUSED_R02ZF_PERSON017,292.0,293.0,0.8922057771952581,0.8858047226104944,0.8890052499028744,-0.006401054584763699,OPTICAL_COHERENT_POSITIVE_SHIFT,88
