order_profile_id,segment_id,run_id,track_a,track_b,component_a_count,component_b_count,component_pair_space_size,optical_order_state,sar_order_state,relative_order_compatibility,common_frame_count,shared_response_observed,shared_region_frame_count,order_representation,weighted_score_used,manual_reference_used
TERGOP_A135960046DBAC066CAC,TERGS_60EB5053F2693E18D58B,R02ZF,R02ZF_REUSED_R02ZF_PERSON021,R02ZF_REUSED_R02ZF_PERSON023,17,6,102,ORDER_OVERLAP_OR_UNCERTAIN,SAR_SHARED_RESPONSE_ORDER_UNDEFINED,SHARED_RESPONSE_ORDER_UNDEFINED,3,True,3,SET_VALUED_AGGREGATE_OVER_ALL_EXPLANATION_COMPONENTS,False,False
TERGOP_947212180E34CD79A038,TERGS_60EB5053F2693E18D58B,R02ZF,R02ZF_REUSED_R02ZF_PERSON021,R02ZF_REUSED_R02ZF_PERSON024,17,4,68,A_RIGHT_OF_B,SAR_SHARED_RESPONSE_ORDER_UNDEFINED,SHARED_RESPONSE_ORDER_UNDEFINED,1,True,1,SET_VALUED_AGGREGATE_OVER_ALL_EXPLANATION_COMPONENTS,False,False
TERGOP_D6454BA8305867E9032F,TERGS_60EB5053F2693E18D58B,R02ZF,R02ZF_REUSED_R02ZF_PERSON023,R02ZF_REUSED_R02ZF_PERSON024,6,4,24,ORDER_OVERLAP_OR_UNCERTAIN,SAR_SHARED_RESPONSE_ORDER_UNDEFINED,SHARED_RESPONSE_ORDER_UNDEFINED,1,True,1,SET_VALUED_AGGREGATE_OVER_ALL_EXPLANATION_COMPONENTS,False,False
TERGOP_CAA8F67BE7BAB5125923,TERGS_6C426359C612628C7A31,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON021,32,31,992,A_RIGHT_OF_B,SAR_ORDER_SET_VALUED,SHARED_RESPONSE_ORDER_UNDEFINED,14,True,11,SET_VALUED_AGGREGATE_OVER_ALL_EXPLANATION_COMPONENTS,False,False
TERGOP_5FA2D8360F6AE3E97349,TERGS_38238A43231066968F66,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,R02ZF_REUSED_R02ZF_PERSON021,27,31,837,A_RIGHT_OF_B,SAR_ORDER_SET_VALUED,SHARED_RESPONSE_ORDER_UNDEFINED,14,True,10,SET_VALUED_AGGREGATE_OVER_ALL_EXPLANATION_COMPONENTS,False,False
TERGOP_4477223B274F5A04D50A,TERGS_406E06BEE8B19831E091,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON018,23,22,506,A_LEFT_OF_B,SAR_SHARED_RESPONSE_ORDER_UNDEFINED,SHARED_RESPONSE_ORDER_UNDEFINED,8,True,8,SET_VALUED_AGGREGATE_OVER_ALL_EXPLANATION_COMPONENTS,False,False
TERGOP_63B4FAFEADDE19F47114,TERGS_406E06BEE8B19831E091,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON021,23,24,552,A_RIGHT_OF_B,SAR_SHARED_RESPONSE_ORDER_UNDEFINED,SHARED_RESPONSE_ORDER_UNDEFINED,8,True,8,SET_VALUED_AGGREGATE_OVER_ALL_EXPLANATION_COMPONENTS,False,False
TERGOP_48D74BA5015DE1BA7AC5,TERGS_406E06BEE8B19831E091,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON023,23,6,138,A_RIGHT_OF_B,SAR_SHARED_RESPONSE_ORDER_UNDEFINED,SHARED_RESPONSE_ORDER_UNDEFINED,3,True,3,SET_VALUED_AGGREGATE_OVER_ALL_EXPLANATION_COMPONENTS,False,False
TERGOP_37C9F13213E93B74CDF9,TERGS_406E06BEE8B19831E091,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON024,23,11,253,A_RIGHT_OF_B,SAR_ORDER_SET_VALUED,SHARED_RESPONSE_ORDER_UNDEFINED,7,True,6,SET_VALUED_AGGREGATE_OVER_ALL_EXPLANATION_COMPONENTS,False,False
TERGOP_018995BF601CC68894DE,TERGS_406E06BEE8B19831E091,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,R02ZF_REUSED_R02ZF_PERSON021,22,24,528,A_RIGHT_OF_B,SAR_SHARED_RESPONSE_ORDER_UNDEFINED,SHARED_RESPONSE_ORDER_UNDEFINED,8,True,8,SET_VALUED_AGGREGATE_OVER_ALL_EXPLANATION_COMPONENTS,False,False
