compatibility_profile_id,segment_id,run_id,track_id,explanation_component_id,lifecycle_compatibility,corridor_compatibility,p0_continuity_compatibility,topology_state,evidence_conflict_preserved,weighted_score_used,pruning_performed,manual_reference_used
TERGCP_E3BF700483AAF5CCB6F4,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,TERGXC_CE2B5E0D15DA0F44FD14,LIFECYCLE_PARTIAL,CORRIDOR_PARTIAL,P0_CONTINUITY_PARTIAL,MULTI_TOPOLOGY_OR_DEFORMATION,False,False,False,False
TERGCP_628D941C658D101FD7F2,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,TERGXC_BAD6B1DCCDB13A32536C,LIFECYCLE_PARTIAL,CORRIDOR_PARTIAL,P0_CONTINUITY_PARTIAL,MULTI_TOPOLOGY_OR_DEFORMATION,False,False,False,False
TERGCP_B3EFEB08951D16DC1F71,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,TERGXC_6B48E0411B7A66D7CEAA,LIFECYCLE_PARTIAL,CORRIDOR_PARTIAL,P0_CONTINUITY_PARTIAL,MULTI_TOPOLOGY_OR_DEFORMATION,False,False,False,False
TERGCP_FC18EBB37C00CAC2F105,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,TERGXC_91B4658F2D7309E572F7,LIFECYCLE_PARTIAL,CORRIDOR_PARTIAL,P0_CONTINUITY_UNAVAILABLE,PERSISTENCE_OR_SINGLE_RESPONSE,False,False,False,False
TERGCP_13D003696587A81425EB,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,TERGXC_0A70AECA18F6B4E723AD,LIFECYCLE_PARTIAL,CORRIDOR_PARTIAL,P0_CONTINUITY_UNAVAILABLE,PERSISTENCE_OR_SINGLE_RESPONSE,False,False,False,False
TERGCP_D5BACD60EA32DB885C23,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,TERGXC_F2D92A142BBC0C8E14F6,LIFECYCLE_PARTIAL,CORRIDOR_PARTIAL,P0_CONTINUITY_PARTIAL,MULTI_TOPOLOGY_OR_DEFORMATION,False,False,False,False
TERGCP_A675DE2589A956296329,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,TERGXC_0FDBDF70D45015809A7F,LIFECYCLE_PARTIAL,CORRIDOR_PARTIAL,P0_CONTINUITY_PARTIAL,MULTI_TOPOLOGY_OR_DEFORMATION,False,False,False,False
TERGCP_23877937D9E7EF9A018D,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,TERGXC_EE5395281F4A0CBF2E62,LIFECYCLE_PARTIAL,CORRIDOR_PARTIAL,P0_CONTINUITY_PARTIAL,MULTI_TOPOLOGY_OR_DEFORMATION,False,False,False,False
TERGCP_E332E5FE783F19C70C4E,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,TERGXC_F0D42BD3C36EF4C29AFD,LIFECYCLE_PARTIAL,CORRIDOR_PARTIAL,P0_CONTINUITY_UNAVAILABLE,PERSISTENCE_OR_SINGLE_RESPONSE,False,False,False,False
TERGCP_CD0E4BDE384282C5647F,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,TERGXC_7882A3135DDCFB2857EA,LIFECYCLE_PARTIAL,CORRIDOR_PARTIAL,P0_CONTINUITY_UNAVAILABLE,PERSISTENCE_OR_SINGLE_RESPONSE,False,False,False,False
TERGCP_9D637B57EC3ECD898FF2,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,TERGXC_735D8131EA12EE801918,LIFECYCLE_PARTIAL,CORRIDOR_PARTIAL,P0_CONTINUITY_UNAVAILABLE,PERSISTENCE_OR_SINGLE_RESPONSE,False,False,False,False
TERGCP_04BBF01266F504920DC6,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,TERGXC_41C9B0C60CFE01DE08B1,LIFECYCLE_PARTIAL,CORRIDOR_PARTIAL,P0_CONTINUITY_PARTIAL,MULTI_TOPOLOGY_OR_DEFORMATION,False,False,False,False
TERGCP_A158B58E549BB8089AF0,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,TERGXC_C6DDBE706D75409F72EC,LIFECYCLE_PARTIAL,CORRIDOR_PARTIAL,P0_CONTINUITY_PARTIAL,MULTI_TOPOLOGY_OR_DEFORMATION,False,False,False,False
