explanation_component_id,segment_id,run_id,track_id,segment_start_sar_frame,segment_end_sar_frame,segment_frame_count,component_start_sar_frame,component_end_sar_frame,component_frame_count,component_node_count,component_supported_edge_count,component_transition_count,component_frame_coverage_fraction,contains_split_like,contains_merge_like,contains_deformation,contains_boundary_censoring,unique_path_claimed,identity_claimed,manual_reference_used
TERGXC_F0D42BD3C36EF4C29AFD,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,0,15,16,9,9,1,1,0,0,0.0625,False,False,False,False,False,False,False
TERGXC_7882A3135DDCFB2857EA,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,0,15,16,9,9,1,1,0,0,0.0625,False,False,False,False,False,False,False
TERGXC_735D8131EA12EE801918,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,0,15,16,9,9,1,1,0,0,0.0625,False,False,False,False,False,False,False
TERGXC_41C9B0C60CFE01DE08B1,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,0,15,16,10,13,4,4,3,3,0.25,False,False,True,False,False,False,False
TERGXC_C6DDBE706D75409F72EC,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,0,15,16,11,12,2,2,1,1,0.125,False,False,True,False,False,False,False
TERGXC_03A50C542DA751E74203,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,0,15,16,11,15,5,5,4,4,0.3125,False,False,True,False,False,False,False
TERGXC_FC394CC2FA1B1D418E0E,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,0,15,16,11,14,4,4,3,3,0.25,False,False,True,False,False,False,False
TERGXC_FD769127CF3EE0B16881,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,0,15,16,11,15,5,7,7,4,0.3125,True,True,True,False,False,False,False
TERGXC_BB4E601E70EFEBCB4121,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,0,15,16,11,12,2,2,1,1,0.125,False,False,False,False,False,False,False
TERGXC_D3633EC77115ED3D11D4,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,0,15,16,12,12,1,1,0,0,0.0625,False,False,False,False,False,False,False
TERGXC_DC275C3C47F9B5C1975B,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,0,15,16,12,15,4,4,3,3,0.25,False,False,True,False,False,False,False
TERGXC_58D008CAC84917861BE8,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,0,15,16,12,15,4,4,3,3,0.25,False,False,True,False,False,False,False
TERGXC_88DF9768F491E0343C9B,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,0,15,16,12,14,3,3,2,2,0.1875,False,False,True,False,False,False,False
TERGXC_24612ACC1911C2B38728,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,0,15,16,13,15,3,3,2,2,0.1875,False,False,True,False,False,False,False
TERGXC_6561106AC3C3AA06781D,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,0,15,16,14,14,1,1,0,0,0.0625,False,False,False,False,False,False,False
TERGXC_7425CB65DD2330313857,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,0,15,16,14,14,1,1,0,0,0.0625,False,False,False,False,False,False,False
TERGXC_0F45D3D00D19DC423296,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,0,15,16,14,14,1,1,0,0,0.0625,False,False,False,False,False,False,False
TERGXC_20FBBB25CADFFD613FCA,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,0,15,16,14,15,2,2,1,1,0.125,False,False,True,False,False,False,False
TERGXC_6052F7503C2F7A93630F,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,0,15,16,14,15,2,2,1,1,0.125,False,False,True,False,False,False,False
TERGXC_30CA3EF19EB2176ECA0E,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,0,15,16,15,15,1,1,0,0,0.0625,False,False,False,False,False,False,False
TERGXC_4DC60D8F96B2BC5CC960,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,0,15,16,15,15,1,1,0,0,0.0625,False,False,False,False,False,False,False
TERGXC_0A159E8C8DB045738E84,TERGS_78A1EE0BE1319B401D51,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,0,90,91,0,90,91,94,93,90,1.0,False,True,True,False,False,False,False
TERGXC_E1A641DDBFB04BA01A4D,TERGS_78A1EE0BE1319B401D51,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,0,90,91,0,47,48,101,112,47,0.5274725274725275,True,True,True,False,False,False,False
TERGXC_9EDB6B828F901CAF34F8,TERGS_78A1EE0BE1319B401D51,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,0,90,91,0,12,13,20,20,12,0.14285714285714285,True,True,True,False,False,False,False
TERGXC_BE4E3C340CDD56AC9621,TERGS_78A1EE0BE1319B401D51,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,0,90,91,0,24,25,33,32,24,0.27472527472527475,False,True,True,False,False,False,False
TERGXC_017625CC59ACAA970B02,TERGS_78A1EE0BE1319B401D51,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,0,90,91,0,8,9,9,8,8,0.0989010989010989,False,False,True,False,False,False,False
TERGXC_B35B9856F77E7D173C77,TERGS_78A1EE0BE1319B401D51,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,0,90,91,0,4,5,5,4,4,0.054945054945054944,False,False,True,False,False,False,False
TERGXC_9ED3574D2FEE13BBA886,TERGS_78A1EE0BE1319B401D51,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,0,90,91,0,21,22,22,21,21,0.24175824175824176,False,False,True,False,False,False,False
TERGXC_1EC3C047518D5CD9DA37,TERGS_78A1EE0BE1319B401D51,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,0,90,91,0,12,13,13,12,12,0.14285714285714285,False,False,True,False,False,False,False
TERGXC_C92AD8272D734C928EE3,TERGS_78A1EE0BE1319B401D51,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,0,90,91,1,4,4,4,3,3,0.04395604395604396,False,False,True,False,False,False,False
TERGXC_5D109592B3D72F6D3B37,TERGS_78A1EE0BE1319B401D51,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,0,90,91,1,1,1,1,0,0,0.01098901098901099,False,False,False,False,False,False,False
TERGXC_A4BB4E0DF00C9742307C,TERGS_78A1EE0BE1319B401D51,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,0,90,91,1,1,1,1,0,0,0.01098901098901099,False,False,False,False,False,False,False
TERGXC_4CC7E4F495DF3F446F9D,TERGS_78A1EE0BE1319B401D51,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,0,90,91,1,1,1,1,0,0,0.01098901098901099,False,False,False,False,False,False,False
TERGXC_D3984C49CB58EC63C124,TERGS_78A1EE0BE1319B401D51,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,0,90,91,2,3,2,2,1,1,0.02197802197802198,False,False,True,False,False,False,False
TERGXC_E6851AF6B67BA523E3C2,TERGS_78A1EE0BE1319B401D51,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,0,90,91,2,2,1,1,0,0,0.01098901098901099,False,False,False,False,False,False,False
TERGXC_A71C73A10FE6CBE145BB,TERGS_78A1EE0BE1319B401D51,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,0,90,91,3,3,1,1,0,0,0.01098901098901099,False,False,False,False,False,False,False
TERGXC_F508EDF4D5C54E804BF8,TERGS_78A1EE0BE1319B401D51,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,0,90,91,3,3,1,1,0,0,0.01098901098901099,False,False,False,False,False,False,False
TERGXC_39E736A8DAC20462D035,TERGS_78A1EE0BE1319B401D51,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,0,90,91,4,44,41,41,40,40,0.45054945054945056,False,False,True,False,False,False,False
TERGXC_D23AC8E31BF9C24FD5E2,TERGS_78A1EE0BE1319B401D51,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,0,90,91,4,6,3,3,2,2,0.03296703296703297,False,False,True,False,False,False,False
TERGXC_E9EF61A3C5F484C2C985,TERGS_78A1EE0BE1319B401D51,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,0,90,91,5,10,6,6,5,5,0.06593406593406594,False,False,True,False,False,False,False
TERGXC_723009F736BF35DD49F9,TERGS_78A1EE0BE1319B401D51,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,0,90,91,5,7,3,3,2,2,0.03296703296703297,False,False,True,False,False,False,False
TERGXC_9173AD4AC55E3EE55463,TERGS_78A1EE0BE1319B401D51,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,0,90,91,5,5,1,1,0,0,0.01098901098901099,False,False,False,False,False,False,False
TERGXC_9898E9DCE12C396EA892,TERGS_78A1EE0BE1319B401D51,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,0,90,91,5,5,1,1,0,0,0.01098901098901099,False,False,False,False,False,False,False
TERGXC_A5C5734BDEA5B86945B5,TERGS_78A1EE0BE1319B401D51,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,0,90,91,7,17,11,11,10,10,0.12087912087912088,True,False,True,False,False,False,False
TERGXC_33EC7752D81F7D136BB1,TERGS_78A1EE0BE1319B401D51,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,0,90,91,8,37,30,30,29,29,0.32967032967032966,False,False,True,False,False,False,False
TERGXC_F72BFDC347884A3F1F25,TERGS_78A1EE0BE1319B401D51,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,0,90,91,8,34,27,29,29,26,0.2967032967032967,True,True,True,False,False,False,False
TERGXC_329BC8154F4BEEB1A9FC,TERGS_78A1EE0BE1319B401D51,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,0,90,91,9,9,1,1,0,0,0.01098901098901099,False,False,False,False,False,False,False
TERGXC_F856DD83DF433A93AE3B,TERGS_78A1EE0BE1319B401D51,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,0,90,91,9,9,1,1,0,0,0.01098901098901099,False,False,False,False,False,False,False
TERGXC_C07C3728430D0237C2AE,TERGS_78A1EE0BE1319B401D51,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,0,90,91,9,9,1,1,0,0,0.01098901098901099,False,False,False,False,False,False,False
