d_parallel_m,response_median,response_q75,contrast_median,contrast_p25,theta_coherence_median,theta_coherence_p25,temporal_persistence,temporal_positive_fraction,temporal_contrast_iqr,contrast_smooth,persistence_coherence_score
7.5499945,0.20931372,0.23068322241306305,-0.01986824,-0.02151883766055107,0.14925373134328357,0.11940298507462686,0.0,0.0,0.004105366766452789,7.361340753779129e-06,0.0
7.5999947,0.20831802,0.2369791716337204,-0.017991744,-0.02009228616952896,0.1691542288557214,0.15422885572139303,0.0,0.0,0.00588616356253624,1.2419500866002454e-06,0.0
7.649995,0.20682445,0.23385033756494522,-0.017662391,-0.019416365772485733,0.1890547263681592,0.16417910447761194,0.0,0.0,0.004630088806152344,1.3940880365893504e-07,0.0
7.6999946,0.20781252,0.23339461535215378,-0.014188886,-0.017754297703504562,0.20398009950248755,0.1890547263681592,0.0,0.0,0.005288761109113693,0.0,0.0
7.7499943,0.20651042,0.23495712131261826,-0.010535382,-0.01407015323638916,0.23383084577114427,0.21393034825870647,0.0,0.0,0.00606425479054451,0.0,0.0
7.7999945,0.20555301,0.2348651885986328,-0.010171562,-0.012452121824026108,0.2512437810945274,0.22512437810945274,0.0,0.0,0.006234690546989441,0.0,0.0
7.8499947,0.20415135,0.23397671431303024,-0.009811565,-0.011814486235380173,0.23880597014925373,0.21890547263681592,0.0,0.0,0.004584100097417831,0.0,0.0
7.8999944,0.20408241,0.23236827552318573,-0.008900128,-0.010753683745861053,0.24875621890547264,0.23383084577114427,0.0,0.0,0.004107322543859482,0.0,0.0
7.949994,0.20289522,0.231242336332798,-0.008421421,-0.009821143001317978,0.263681592039801,0.24378109452736318,0.0,0.0,0.003146044909954071,0.0,0.0
7.9999943,0.20419732,0.2291053906083107,-0.007854626,-0.009122256189584732,0.2537313432835821,0.22885572139303484,0.0,0.0,0.0021599382162094116,0.0,0.0
8.049994,0.2020527,0.22931986302137375,-0.008386955,-0.009593293070793152,0.24875621890547264,0.21019900497512436,0.0,0.0,0.003488834947347641,0.0,0.0
8.099995,0.19714308,0.22252604365348816,-0.011044733,-0.013428691774606705,0.19900497512437812,0.15547263681592038,0.0,0.0,0.004507496953010559,0.0,0.0
8.149994,0.19471508,0.21927083283662796,-0.014146756,-0.016888778656721115,0.14427860696517414,0.10945273631840796,0.0,0.0,0.005032163113355637,0.0,0.0
8.199994,0.19310662,0.21776961535215378,-0.014568016,-0.017348330467939377,0.12686567164179105,0.1044776119402985,0.0,0.0,0.004220269620418549,0.0,0.0
8.249994,0.19281557,0.2151309698820114,-0.014698215,-0.01597731187939644,0.12935323383084577,0.11069651741293532,0.0,0.0,0.0028186142444610596,0.0,0.0
8.2999935,0.18995099,0.20909927040338516,-0.016161129,-0.017823219299316406,0.10945273631840796,0.08582089552238806,0.0,0.0,0.004258587956428528,0.0,0.0
8.349994,0.19048713,0.20562194287776947,-0.017072618,-0.018771052360534668,0.10199004975124379,0.08582089552238806,0.0,0.0,0.00397326797246933,0.0,0.0
8.399994,0.18846124,0.20399434119462967,-0.017823227,-0.01959444209933281,0.09203980099502487,0.0708955223880597,0.0,0.0,0.0031326599419116974,0.0,0.0
8.449994,0.18808976,0.20294883102178574,-0.018083647,-0.020764384418725967,0.11442786069651742,0.0945273631840796,0.0,0.0,0.004831105470657349,0.0,0.0
8.499994,0.18634728,0.19693627953529358,-0.016804539,-0.01946040242910385,0.10696517412935323,0.08955223880597014,0.0,0.0,0.004846438765525818,0.0,0.0
8.5499935,0.18387716,0.19843749701976776,-0.01536458,-0.01721430942416191,0.1044776119402985,0.08955223880597014,0.0,0.0,0.00346200168132782,0.0,0.0
8.599994,0.18376225,0.19656863808631897,-0.015349261,-0.016490500420331955,0.08706467661691542,0.07587064676616914,0.0,0.0,0.0029296837747097015,0.0,0.0
8.649994,0.18411458,0.19558823108673096,-0.014525883,-0.01673368364572525,0.1044776119402985,0.08955223880597014,0.0,0.0,0.004126444458961487,0.0,0.0
8.699993,0.18191636,0.19428233802318573,-0.01452589,-0.015521574765443802,0.0845771144278607,0.06965174129353234,0.0,0.0,0.002598412334918976,0.0,0.0
8.749993,0.18273592,0.19321385771036148,-0.013288908,-0.014918413013219833,0.10945273631840796,0.0845771144278607,0.0,0.0,0.0034486092627048492,0.0,0.0
8.7999935,0.18212317,0.19306831806898117,-0.010987289,-0.012737434357404709,0.10199004975124379,0.08955223880597014,0.0,0.0,0.0031556524336338043,0.0,0.0
8.849994,0.18192403,0.1928500309586525,-0.011075363,-0.011862348765134811,0.12437810945273632,0.1044776119402985,0.0,0.0,0.0024796873331069946,0.0,0.0
8.899994,0.1818321,0.19212622940540314,-0.0105238855,-0.012333415448665619,0.11194029850746269,0.08955223880597014,0.0,0.0,0.0035022273659706116,0.0,0.0
8.949993,0.18178615,0.19106540828943253,-0.008965224,-0.010349664837121964,0.12189054726368159,0.10572139303482586,0.0,0.0,0.0023207776248455048,0.0,0.0
8.999993,0.18243721,0.189453125,-0.009290755,-0.010606229305267334,0.11194029850746269,0.09079601990049752,0.0,0.0,0.0026654452085494995,0.0,0.0
9.0499935,0.18053003,0.18929226696491241,-0.009022675,-0.010409016162157059,0.11691542288557213,0.09577114427860697,0.0,0.0,0.002611827105283737,0.0,0.0
9.099993,0.18182445,0.19097349792718887,-0.007892914,-0.008785244077444077,0.1318407960199005,0.1044776119402985,0.0,0.0,0.001725275069475174,0.0,0.0
9.149993,0.18128064,0.19056373089551926,-0.008126505,-0.00971582904458046,0.12437810945273632,0.10945273631840796,0.0,0.0,0.002787979319691658,0.0,0.0
9.199993,0.17990196,0.1873774528503418,-0.0087316185,-0.01028263196349144,0.1044776119402985,0.08955223880597014,0.0,0.0,0.0027075819671154022,0.0,0.0
9.249993,0.17930071,0.1877451092004776,-0.008298859,-0.009545423090457916,0.10945273631840796,0.0945273631840796,0.0,0.0,0.002969905734062195,0.0,0.0
9.2999935,0.17979473,0.18776042014360428,-0.007728234,-0.008823540061712265,0.11940298507462686,0.0945273631840796,0.0,0.0,0.0022173821926116943,0.0,0.0
9.349993,0.1794424,0.18625153601169586,-0.0078048334,-0.00951477512717247,0.10945273631840796,0.0845771144278607,0.0,0.0,0.003025416284799576,0.0,0.0
9.399993,0.17965686,0.18775659799575806,-0.00816866,-0.009256277233362198,0.12437810945273632,0.10074626865671642,0.0,0.0,0.0024203285574913025,0.0,0.0
9.449993,0.17925858,0.18771446496248245,-0.006809145,-0.00831034779548645,0.11442786069651742,0.09950248756218906,0.0,0.0,0.0024624504148960114,0.0,0.0
